payout,asr,sharpe,sortino,std_dev,max_dd,smart_sharpe
feature_charisma69,0.03729423934883721,1.914596907908056,1.946068868711253,7.761898553322846,0.019163884664335957,-0.010690011100000023,1.7496893729484986
feature_charisma70,0.037223387620930234,1.871159186910849,1.93073996067037,7.316206724568338,0.019279337652495652,-0.011844795999999897,1.7261817502593655
feature_charisma71,0.03719779243255814,1.9032657156887893,1.945491768486975,7.65309337450137,0.01911999476692064,-0.010903852899999972,1.7454361735655008
feature_charisma72,0.03724964042790698,1.9077597556266974,1.9500610660886235,7.674380375441841,0.01910178151632002,-0.010880927100000099,1.7472744057340037
feature_charisma73,0.03728416690930232,1.8973269951702185,1.9515780369730593,7.614193475782678,0.01910462518174825,-0.011247343599999994,1.755512454527186
feature_charisma74,0.03729285169302325,1.9139632541210354,1.9541473846546986,7.728573279145185,0.019083950364170186,-0.010940217799999952,1.761033735231697
feature_charisma75,0.03726506782325581,1.962299920384576,1.962766844335846,8.29069795695816,0.018985988035611755,-0.009224740800000079,1.771279525473556
feature_charisma76,0.037318301520930235,1.920769846062718,1.9569004466437638,7.817896562342797,0.01907010731431638,-0.010560955099999984,1.7564788301704137
feature_charisma77,0.037403817516279074,1.902998665567875,1.9504211396061621,7.65500223739626,0.01917730317660104,-0.011163150799999997,1.7369268395797866
feature_charisma78,0.037245865841860466,1.896812031985392,1.9445206059731392,7.622688274395067,0.019154266469303214,-0.010923023499999952,1.756690743363985
feature_charisma79,0.03721723793023256,1.8955429356208975,1.948835523075633,7.5482502947434424,0.01909716725170151,-0.011465335599999956,1.7578227479854023
feature_charisma80,0.037303706530232565,1.8924758365413767,1.9555449227396606,7.569993355427166,0.01907586274109785,-0.01141533380000012,1.7581331273351495
feature_charisma81,0.037195576469767434,1.9115064145153682,1.9441619561563461,7.640990897781313,0.019131933094351853,-0.010942984699999927,1.7355928835587775
feature_charisma82,0.03730330223488372,1.9114151930834193,1.952455711516178,7.736402398668898,0.01910583785069105,-0.010733688599999987,1.7509264845814325
feature_charisma83,0.03721819473488372,1.9048233655136475,1.9482071762174915,7.6775657693229284,0.01910381769927779,-0.010786852600000011,1.7571735855432706
feature_charisma84,0.03737138038604652,1.9412934728734679,1.965921586926894,8.021131035165398,0.019009598670954638,-0.010025955500000048,1.7722700641650029
feature_charisma85,0.0372292752255814,1.9578225290623616,1.944439548788522,8.137461090482901,0.01914653260821454,-0.009954016100000022,1.7535419578464813
feature_charisma86,0.03735234116976745,1.9366180524820653,1.9630676199691512,8.005087736609838,0.019027536692981784,-0.010044730899999967,1.771506230354204
feature_strength1,0.03735168088139535,1.9034744468665248,1.9567986798221275,7.640376018153069,0.019088157236896035,-0.011025793999999929,1.7580100903764107
feature_strength2,0.037269116076744185,1.9075389116453096,1.951320064398274,7.723068646934871,0.019099437737927844,-0.01080444219999999,1.7600976479013526
feature_strength3,0.037194179972093025,1.8947052023202486,1.9245541099077201,7.495468137698769,0.01932612846820734,-0.011354264399999925,1.7270045885512646
feature_strength4,0.03717427239534884,1.9289579766340024,1.9267581514901768,7.845995515381332,0.019293688918143582,-0.0102763597999999,1.723549671169303
feature_strength5,0.03733082600697675,1.9022926309713275,1.9556557764935958,7.6642607727770695,0.019088648654677496,-0.011052870099999904,1.7578899480824894
feature_strength6,0.03731928183953489,1.9092636348167582,1.949847515915699,7.718770725143995,0.019139589908910792,-0.010905236299999895,1.7574187000354344
feature_strength7,0.03725984952325582,1.908862176422707,1.9510384609316982,7.754696624513449,0.019097444909139703,-0.01072756189999998,1.7447329448918685
feature_strength8,0.03728060843255814,1.9068126809797317,1.9560675453658938,7.666267112632014,0.01905895761160159,-0.011048917399999934,1.7657887645649355
feature_strength9,0.03714968582790698,1.9079425092838544,1.9554301208466067,7.703621543061928,0.01899821703258972,-0.010705624400000004,1.75961780186308
feature_strength10,0.03721611326976744,1.8798280800130818,1.946525109000138,7.4324522153554,0.019119256719418356,-0.011693011900000086,1.745649027187316
